gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2576837545	196	72.5	4	196	1	193	0.0e+00	295	KO:K06966			Yes
2576837552	431	79.9	10	431	8	428	0.0e+00	693.3	KO:K03320	ammonium transporter, Amt family		Yes
2576837553	112	92	1	112	1	112	0.0e+00	205.3	KO:K04752	nitrogen regulatory protein P-II 2		Yes
2576837554	465	77.5	1	464	1	479	0.0e+00	756.5	KO:K03320	ammonium transporter, Amt family		Yes
2576837555	112	92	1	112	1	112	0.0e+00	203.4	KO:K04752	nitrogen regulatory protein P-II 2		Yes
2576837557	469	89.3	1	469	1	469	0.0e+00	872.5	KO:K01915	glutamine synthetase [EC:6.3.1.2]	EC:6.3.1.2	Yes
2576837558	472	81.1	3	472	6	475	0.0e+00	784.6	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
2576837558	472	81.1	3	472	6	475	0.0e+00	784.6	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
2576837559	203	84.3	1	203	1	204	0.0e+00	364	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
2576837559	203	84.3	1	203	1	204	0.0e+00	364	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
2576837561	514	81.5	1	509	1	509	0.0e+00	855.9	KO:K09011	D-citramalate synthase [EC:2.3.1.182]	EC:2.3.1.182	Yes
2576837568	2863	50.1	21	2863	1	2874	0.0e+00	2724.1	KO:K13688	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2576837577	296	55.9	7	290	13	292	0.0e+00	299.3	KO:K03791	putative chitinase		Yes
2576837581	976	57.9	29	849	43	878	0.0e+00	932.9	KO:K13924	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	EC:2.1.1.80	Yes
2576837581	976	57.9	29	849	43	878	0.0e+00	932.9	KO:K13924	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	EC:3.1.1.61	Yes
2576837584	802	49.2	1	709	1	677	0.0e+00	654.4	KO:K03169	DNA topoisomerase III [EC:5.99.1.2]	EC:5.99.1.2	Yes
2576837585	457	76.3	6	457	5	456	0.0e+00	716.1	KO:K06966			Yes
2576837587	68	77.6	1	67	1	66	2.4e-23	109	KO:K03704	cold shock protein (beta-ribbon, CspA family)		Yes
2576837590	409	76	2	406	1	405	0.0e+00	638.6	KO:K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	EC:2.3.1.179	Yes
2576837591	241	81.3	1	241	1	241	0.0e+00	403.3	KO:K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	EC:1.1.1.100	Yes
2576837593	423	59.7	1	422	1	392	0.0e+00	479.2	KO:K00647	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	EC:2.3.1.41	Yes
2576837598	137	66.4	7	137	10	140	0.0e+00	195.7	KO:K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]	EC:3.1.2.-	Yes
2576837600	536	76.2	3	510	2	509	0.0e+00	774.2	KO:K01745	histidine ammonia-lyase [EC:4.3.1.3]	EC:4.3.1.3	Yes
2576837604	82	70.4	1	81	1	81	8.1e-26	117.5	KO:K02078	acyl carrier protein		Yes
2576837605	82	74.7	1	79	4	82	9.6e-27	120.6	KO:K02078	acyl carrier protein		Yes
2576837608	288	61.7	9	284	8	268	0.0e+00	330.9	KO:K02019	molybdate transport system regulatory protein		Yes
2576837610	254	67.2	5	254	2	254	0.0e+00	339	KO:K02020	molybdate transport system substrate-binding protein		Yes
2576837611	228	85.7	5	228	4	227	0.0e+00	397.5	KO:K02018	molybdate transport system permease protein		Yes
2576837612	392	71.8	4	392	5	380	0.0e+00	523.9	KO:K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]	EC:3.6.3.29	Yes
2576837613	142	79.6	1	142	1	142	0.0e+00	230.3	KO:K02019	molybdate transport system regulatory protein		Yes
