gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2576837533	526	30	104	4	67	2.3e-11	43.6	pfam13442	Cytochrome_CBB3	67
2576837533	526	158	510	20	366	4.3e-46	156.8	pfam02239	Cytochrom_D1	369
2576837534	92	12	86	3	66	2.3e-08	34	pfam13442	Cytochrome_CBB3	67
2576837535	101	20	92	10	64	3.5e-09	36.6	pfam13442	Cytochrome_CBB3	67
2576837536	174	20	155	2	119	1.5e-10	41.4	pfam11684	DUF3280	140
2576837537	387	20	382	4	368	8.4e-116	386.2	pfam02239	Cytochrom_D1	369
2576837540	165	2	46	1	42	1.7e-06	27.4	pfam13404	HTH_AsnC-type	42
2576837541	147	1	45	1	41	5.0e-09	35.5	pfam13404	HTH_AsnC-type	42
2576837542	163	2	46	1	42	8.8e-09	34.7	pfam13404	HTH_AsnC-type	42
2576837543	402	53	158	5	92	4.8e-10	39.4	pfam13394	Fer4_14	119
2576837543	402	54	220	3	159	6.4e-21	75.2	pfam04055	Radical_SAM	166
2576837545	196	49	179	1	131	5.9e-44	149	pfam03641	Lysine_decarbox	133
2576837546	238	3	237	1	234	1.0e-80	270.2	pfam01709	Transcrip_reg	234
2576837547	46	7	44	4	27	3.6e-08	33.5	pfam03400	DDE_Tnp_IS1	131
2576837548	93	2	39	5	34	4.5e-08	32.4	pfam03811	Zn_Tnp_IS1	36
2576837548	93	46	91	1	46	3.7e-22	77.4	pfam12759	HTH_Tnp_IS1	46
2576837551	979	144	297	1	147	4.1e-20	72.3	pfam05359	DUF748	151
2576837551	979	355	508	1	151	3.7e-29	101.6	pfam05359	DUF748	151
2576837551	979	575	720	2	151	6.1e-32	110.7	pfam05359	DUF748	151
2576837552	431	32	428	1	399	7.5e-115	383.5	pfam00909	Ammonium_transp	399
2576837553	112	4	105	1	102	3.5e-42	143	pfam00543	P-II	102
2576837554	465	38	463	1	399	3.6e-117	391.2	pfam00909	Ammonium_transp	399
2576837555	112	4	105	1	102	5.3e-41	139.2	pfam00543	P-II	102
2576837556	454	56	454	2	344	2.1e-96	322.9	pfam07642	DUF1597	344
2576837557	469	14	95	1	84	6.4e-31	105.7	pfam03951	Gln-synt_N	84
2576837557	469	102	379	1	259	2.1e-101	338.4	pfam00120	Gln-synt_C	259
2576837558	472	11	464	1	465	0.0e+00	566.1	pfam00330	Aconitase	465
2576837559	203	1	124	1	130	1.5e-38	131.9	pfam00694	Aconitase_C	131
2576837561	514	16	257	1	234	7.5e-46	156.7	pfam00682	HMGL-like	237
2576837561	514	370	506	2	130	3.9e-19	68.7	pfam08502	LeuA_dimer	133
2576837562	68	11	63	2	53	1.5e-11	44.1	pfam04324	Fer2_BFD	55
2576837564	142	17	131	14	78	3.1e-05	24.1	pfam02452	PemK	110
2576837565	88	1	76	1	50	4.0e-08	32.7	pfam02604	PhdYeFM_antitox	75
2576837568	2863	1321	1535	1	234	2.1e-66	223.3	pfam10091	Glycoamylase	234
2576837568	2863	1556	1622	15	65	2.1e-11	43.1	pfam06204	CBM_X	66
2576837568	2863	1624	1733	1	110	1.6e-36	124.4	pfam06165	Glyco_transf_36	110
2576837568	2863	1750	1839	2	89	2.4e-24	84.8	pfam06205	GT36_AF	90
2576837568	2863	2068	2133	1	66	1.3e-25	88.6	pfam06204	CBM_X	66
2576837568	2863	2135	2244	1	110	9.5e-39	131.6	pfam06165	Glyco_transf_36	110
2576837568	2863	2249	2339	3	90	2.3e-28	97.7	pfam06205	GT36_AF	90
