gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2576837533	526	20.65	160	497	8	334	2.0e-08	54.4	COG3391	Uncharacterized conserved protein	381
2576837534	92	41.3	1	92	11	102	8.0e-16	75.4	COG2863	Cytochrome c553	121
2576837537	387	17.91	35	379	11	355	9.0e-07	48.3	COG3391	Uncharacterized conserved protein	381
2576837539	152	19.84	1	122	5	127	1.0e-10	59.3	COG1522	Transcriptional regulators	154
2576837540	165	19.87	1	154	5	152	3.0e-12	64.7	COG1522	Transcriptional regulators	154
2576837541	147	20	1	122	6	127	5.0e-14	70.5	COG1522	Transcriptional regulators	154
2576837542	163	19.85	1	129	5	127	2.0e-16	78.6	COG1522	Transcriptional regulators	154
2576837543	402	31.1	33	401	1	347	5.0e-50	192	COG0535	Predicted Fe-S oxidoreductases	347
2576837545	196	33.33	1	191	11	204	4.0e-40	157	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
2576837546	238	40.68	5	237	7	238	3.0e-65	241	COG0217	Uncharacterized conserved protein	241
2576837552	431	55.17	26	428	1	402	1.0e-116	413	COG0004	Ammonia permease	409
2576837553	112	72.32	1	112	1	112	7.0e-40	155	COG0347	Nitrogen regulatory protein PII	112
2576837554	465	53.58	33	464	2	403	3.0e-117	415	COG0004	Ammonia permease	409
2576837555	112	69.64	1	112	1	112	9.0e-40	154	COG0347	Nitrogen regulatory protein PII	112
2576837557	469	48.53	1	469	1	443	0.0e+00	517	COG0174	Glutamine synthetase	443
2576837558	472	55.86	8	472	1	422	0.0e+00	609	COG0065	3-isopropylmalate dehydratase large subunit	423
2576837559	203	48.77	1	203	1	191	7.0e-70	256	COG0066	3-isopropylmalate dehydratase small subunit	191
2576837561	514	34.93	6	415	1	409	3.0e-76	279	COG0119	Isopropylmalate/homocitrate/citramalate synthases	409
2576837568	2863	44.31	1772	2863	1	1054	0.0e+00	1003	COG3459	Cellobiose phosphorylase	1056
2576837577	296	40.1	12	216	11	206	2.0e-38	152	COG3179	Predicted chitinase	206
2576837581	976	35.07	233	496	4	267	2.0e-65	244	COG1352	Methylase of chemotaxis methyl-accepting proteins	268
2576837584	802	28.93	1	611	1	553	2.0e-116	413	COG0550	Topoisomerase IA	570
2576837585	457	26.96	139	340	4	200	2.0e-37	150	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
