gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2576837543	402	303	394	4.7e-11	30.2	TIGR04085	radical SAM additional 4Fe4S-binding SPASM domain
2576837543	402	49	402	0.0e+00	632.8	TIGR04051	heme d1 biosynthesis radical SAM protein NirJ
2576837545	196	5	182	3.3e-61	192.2	TIGR00730	TIGR00730 family protein
2576837546	238	1	237	8.2e-62	195.1	TIGR01033	DNA-binding regulatory protein, YebC/PmpR family
2576837552	431	30	428	0.0e+00	443.1	TIGR00836	ammonium transporter
2576837554	465	36	463	0.0e+00	444.2	TIGR00836	ammonium transporter
2576837557	469	4	468	0.0e+00	680.3	TIGR00653	glutamine synthetase, type I
2576837558	472	8	472	0.0e+00	770.3	TIGR00170	3-isopropylmalate dehydratase, large subunit
2576837559	203	1	187	9.6e-86	272.5	TIGR00171	3-isopropylmalate dehydratase, small subunit
2576837580	739	188	309	7.7e-22	64.9	TIGR00229	PAS domain S-box
2576837580	739	309	475	9.4e-50	155.6	TIGR00254	diguanylate cyclase (GGDEF) domain
2576837581	976	841	957	3.7e-15	42.3	TIGR00229	PAS domain S-box
2576837584	802	1	412	4.6e-126	407.9	TIGR01056	DNA topoisomerase III, bacteria and conjugative plasmid
2576837591	241	5	241	7.2e-123	394.6	TIGR01831	3-oxoacyl-(acyl-carrier-protein) reductase, putative
2576837598	137	8	125	1.4e-20	60	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
2576837600	536	1	533	3.2e-104	335.5	TIGR01226	phenylalanine ammonia-lyase
2576837604	82	4	79	3.4e-15	42	TIGR00517	acyl carrier protein
2576837605	82	1	81	4.9e-11	28.6	TIGR00517	acyl carrier protein
2576837606	264	75	196	3.2e-19	55.1	TIGR00530	1-acyl-sn-glycerol-3-phosphate acyltransferases
2576837608	288	129	197	6.3e-19	55	TIGR00638	molybdenum-pterin binding domain
2576837608	288	23	122	2.1e-28	85.6	TIGR00637	ModE molybdate transport repressor domain
2576837610	254	32	249	5.1e-79	251.2	TIGR01256	molybdenum ABC transporter, periplasmic molybdate-binding protein
2576837611	228	11	220	1.8e-75	239.2	TIGR02141	molybdate ABC transporter, permease protein
2576837612	392	4	328	0.0e+00	424.3	TIGR02142	molybdenum ABC transporter, ATP-binding protein
2576837613	142	1	69	1.9e-27	81.3	TIGR00638	molybdenum-pterin binding domain
2576837614	389	3	355	4.5e-83	266.3	TIGR02142	molybdenum ABC transporter, ATP-binding protein
2576837631	293	4	279	0.0e+00	463.4	TIGR01287	nitrogenase iron protein
2576837632	493	12	479	0.0e+00	879.5	TIGR01282	nitrogenase molybdenum-iron protein alpha chain
2576837632	493	27	474	0.0e+00	664.9	TIGR01862	nitrogenase component I, alpha chain
2576837633	523	2	523	0.0e+00	883.2	TIGR01286	nitrogenase molybdenum-iron protein beta chain
2576837634	74	2	70	3.1e-25	74	TIGR02934	probable nitrogen fixation protein FixT
2576837636	236	103	220	5.5e-37	113	TIGR02663	nitrogen fixation protein NifX
2576837640	72	1	68	4.3e-14	38.8	TIGR03798	nif11-like leader peptide domain
2576837641	187	3	159	9.3e-25	73.4	TIGR00758	uracil-DNA glycosylase, family 4
2576837642	254	1	252	1.3e-87	280.6	TIGR00195	exodeoxyribonuclease III
2576837642	254	1	253	6.5e-94	301.2	TIGR00633	exodeoxyribonuclease III (xth)
2576837649	519	3	457	0.0e+00	714.8	TIGR01283	nitrogenase molybdenum-iron cofactor biosynthesis protein NifE
2576837650	465	2	437	0.0e+00	580.8	TIGR01285	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN
2576837651	143	5	122	1.0e-39	121.8	TIGR02663	nitrogen fixation protein NifX
2576837653	157	16	155	1.1e-56	177	TIGR02935	probable nitrogen fixation protein
2576837655	105	6	101	3.4e-38	115.9	TIGR02936	ferredoxin III, nif-specific
2576837664	237	107	221	7.8e-30	90	TIGR02663	nitrogen fixation protein NifX
2576837666	143	43	143	9.6e-39	117.9	TIGR01068	thioredoxin
2576837672	262	1	248	5.8e-92	293.7	TIGR00500	methionine aminopeptidase, type I
2576837675	263	1	254	5.7e-68	215.3	TIGR00668	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
2576837676	181	3	177	1.1e-57	180.3	TIGR01752	flavodoxin, long chain
2576837680	131	6	125	3.7e-23	68.1	TIGR02481	hemerythrin-like metal-binding domain
2576837686	177	3	176	1.7e-63	199.2	TIGR01752	flavodoxin, long chain
2576837687	202	3	101	1.4e-40	123.7	TIGR00365	monothiol glutaredoxin, Grx4 family
2576837688	423	1	411	0.0e+00	511.7	TIGR00382	endopeptidase Clp ATP-binding regulatory subunit (clpX)
2576837689	292	12	281	7.1e-67	212	TIGR02933	nitrogen fixation protein NifM
2576837693	263	23	184	1.3e-77	245.5	TIGR01172	serine O-acetyltransferase
2576837695	374	7	371	0.0e+00	521	TIGR02660	homocitrate synthase NifV
2576837696	402	4	383	0.0e+00	627.4	TIGR03402	cysteine desulfurase NifS
2576837697	301	1	289	0.0e+00	462.3	TIGR02000	Fe-S cluster assembly protein NifU
2576837698	118	2	107	2.8e-40	123	TIGR00049	Iron-sulfur cluster assembly accessory protein
2576837701	544	73	241	2.3e-18	52.3	TIGR03605	SagB-type dehydrogenase domain
2576837706	154	1	154	2.6e-81	257.3	TIGR00754	bacterioferritin
2576837709	232	8	212	1.8e-78	248.7	TIGR01948	electron transport complex, RnfABCDGE type, E subunit
2576837710	236	42	228	1.0e-62	197.6	TIGR01947	electron transport complex, RnfABCDGE type, G subunit
2576837711	357	10	345	4.3e-114	367.2	TIGR01946	electron transport complex, RnfABCDGE type, D subunit
2576837713	495	7	443	0.0e+00	550	TIGR01945	electron transport complex, RnfABCDGE type, C subunit
2576837714	190	1	183	1.7e-67	212.7	TIGR01944	electron transport complex, RnfABCDGE type, B subunit
2576837715	193	2	191	5.6e-89	283.7	TIGR01943	electron transport complex, RnfABCDGE type, A subunit
2576837716	538	35	527	0.0e+00	611.8	TIGR02938	nitrogen fixation negative regulator NifL
2576837716	538	37	159	1.7e-21	63.8	TIGR00229	PAS domain S-box
2576837717	513	9	513	0.0e+00	653.6	TIGR01817	Nif-specific regulatory protein
2576837722	496	31	479	0.0e+00	658.1	TIGR01290	nitrogenase cofactor biosynthesis protein NifB
